Date,Price,Open,High,Low,Volume,Change
"Oct 16, 2020",11322,11503.2,11542.2,11224.6,71.42K,-1.57%
"Oct 15, 2020",11503,11421.4,11590.9,11276.7,70.84K,0.72%
"Oct 14, 2020",11420.4,11424.4,11541,11293.5,59.12K,-0.03%
"Oct 13, 2020",11423.8,11533.5,11558,11315.9,64.67K,-0.95%
"Oct 12, 2020",11533.9,11370.8,11715.9,11227.4,84.02K,1.43%
"Oct 11, 2020",11371,11295.6,11439.4,11277.6,41.06K,0.64%
"Oct 10, 2020",11298.4,11053.5,11475,11053.1,65.81K,2.21%
"Oct 09, 2020",11054.2,10923.5,11103,10836.9,70.95K,1.19%
"Oct 08, 2020",10924.1,10670.7,10948.6,10549.6,79.78K,2.37%
"Oct 07, 2020",10670.9,10601,10680.1,10553.3,49.27K,0.64%
"Oct 06, 2020",10602.6,10790.2,10800.3,10530.8,69.07K,-1.73%
"Oct 05, 2020",10789.5,10672.5,10789.6,10623.4,48.86K,1.09%
"Oct 04, 2020",10672.9,10544.4,10693.3,10520.8,31.40K,1.22%
"Oct 03, 2020",10544.2,10572.2,10597.8,10501.2,29.10K,-0.27%
"Oct 02, 2020",10572.3,10619.6,10662.9,10387.6,77.94K,-0.45%
"Oct 01, 2020",10620.5,10776.6,10913.7,10462.7,95.33K,-1.44%
"Sep 30, 2020",10776.1,10843.4,10847.7,10667.6,55.55K,-0.60%
"Sep 29, 2020",10840.9,10694.3,10858.4,10642.4,59.64K,1.38%
"Sep 28, 2020",10693.2,10776.4,10946.6,10685.2,72.29K,-0.77%
"Sep 27, 2020",10776.2,10727.9,10799.2,10602.7,40.92K,0.45%
"Sep 26, 2020",10727.9,10688.9,10793.3,10650.2,37.85K,0.37%
"Sep 25, 2020",10688.8,10739.9,10756,10558.9,71.43K,-0.47%
"Sep 24, 2020",10739.4,10238.1,10787.8,10201,82.95K,4.90%
"Sep 23, 2020",10237.3,10531.5,10535.4,10146.6,74.95K,-2.79%
"Sep 22, 2020",10531.5,10419.4,10570.7,10361.7,63.52K,1.10%
"Sep 21, 2020",10416.8,10919.9,10987.2,10328.5,109.85K,-4.62%
"Sep 20, 2020",10921.5,11081.6,11081.6,10772.7,53.39K,-1.45%
"Sep 19, 2020",11081.8,10933,11177.1,10890.7,51.63K,1.36%
"Sep 18, 2020",10933,10941.3,11029.7,10818.7,63.48K,-0.08%
"Sep 17, 2020",10941.3,10950.1,11039.3,10755.2,77.22K,-0.07%
"Sep 16, 2020",10949.5,10785.2,11093.3,10669.2,94.94K,1.52%
"Sep 15, 2020",10785.3,10675.2,10931.8,10627.8,91.70K,1.03%
"Sep 14, 2020",10675.3,10332.7,10744.3,10264.5,96.64K,3.38%
"Sep 13, 2020",10326,10441.7,10579.6,10219.4,66.12K,-1.11%
"Sep 12, 2020",10441.9,10390.2,10476.8,10275.9,48.49K,0.50%
"Sep 11, 2020",10390.2,10339.8,10398.8,10212.6,62.28K,0.49%
"Sep 10, 2020",10339.7,10224.3,10480.3,10219.2,88.01K,1.13%
"Sep 09, 2020",10224.6,10126.8,10343.3,9984.6,71.37K,0.97%
"Sep 08, 2020",10126.6,10376.9,10434.4,9877.1,113.90K,-2.41%
"Sep 07, 2020",10376.9,10296.4,10400.9,9887,12.40M,0.78%
